127.0.0.1 - - [26/Jul/2022:09:50:58 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:04:43 +0900] "GET /WebProject2/Controller?command=gradeServletAction&movie_drama_id=149 HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:04:51 +0900] "GET /WebProject2/Controller?command=dramaScrollServletAction&page=2 HTTP/1.1" 200 2119
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:05:10 +0900] "GET /WebProject2/jspSY/main.css HTTP/1.1" 200 15699
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:05:10 +0900] "GET /WebProject2/jspSY/modal.css HTTP/1.1" 200 7218
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:05:10 +0900] "GET /WebProject2/js/common-sy.js HTTP/1.1" 200 6733
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:05:10 +0900] "GET /WebProject2/images/netflix1.png HTTP/1.1" 200 1428
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:05:10 +0900] "GET /WebProject2/images/upload/test1.jpg HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:05:10 +0900] "GET /WebProject2/jspSY/Main.jsp HTTP/1.1" 200 47127
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:05:10 +0900] "GET /WebProject2/images/upload/test1.jpg HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:05:15 +0900] "GET /WebProject2/Controller?command=movieScrollServletAction&page=1 HTTP/1.1" 200 2298
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:05:15 +0900] "GET /WebProject2/Controller?command=dramaScrollServletAction&page=2 HTTP/1.1" 200 2119
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:05:17 +0900] "GET /WebProject2/jspBR/p05.account.jsp HTTP/1.1" 500 2870
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:05:22 +0900] "GET /WebProject2/Controller?command=movieScrollServletAction&page=1 HTTP/1.1" 200 2298
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:05:22 +0900] "GET /WebProject2/Controller?command=dramaScrollServletAction&page=2 HTTP/1.1" 200 2119
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:05:23 +0900] "GET /WebProject2/jspBR/p05.account.jsp HTTP/1.1" 500 2870
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:05:27 +0900] "GET /WebProject2/Controller?command=movieScrollServletAction&page=1 HTTP/1.1" 200 2298
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:05:27 +0900] "GET /WebProject2/Controller?command=dramaScrollServletAction&page=2 HTTP/1.1" 200 2119
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:05:32 +0900] "GET /WebProject2/jspBR/p01.account.jsp HTTP/1.1" 200 13198
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:05:32 +0900] "GET /WebProject2/images/upload/test1.jpg HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:05:35 +0900] "GET /WebProject2/index.jsp?profile_id=2 HTTP/1.1" 200 234510
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:05:35 +0900] "GET /WebProject2/Controller?command=movieScrollServletAction&page=1 HTTP/1.1" 200 2298
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:05:35 +0900] "GET /WebProject2/Controller?command=dramaScrollServletAction&page=2 HTTP/1.1" 200 2119
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:05:37 +0900] "GET /WebProject2/images/upload/test1.jpg HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:05:37 +0900] "GET /WebProject2/images/upload/test1.jpg HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:05:37 +0900] "GET /WebProject2/jspSY/Main.jsp HTTP/1.1" 200 47127
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:05:37 +0900] "GET /WebProject2/images/upload/test1.jpg HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:05:39 +0900] "GET /WebProject2/Controller?command=movieScrollServletAction&page=1 HTTP/1.1" 200 2298
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:05:39 +0900] "GET /WebProject2/Controller?command=dramaScrollServletAction&page=2 HTTP/1.1" 200 2119
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:05:40 +0900] "GET /WebProject2/jspBR/p05.account.jsp?profile_id=2 HTTP/1.1" 200 28560
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:05:40 +0900] "GET /WebProject2/js/common_headerBR.js HTTP/1.1" 200 1557
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:05:40 +0900] "GET /WebProject2/jspBR/css/p05.account.css HTTP/1.1" 200 15035
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:05:53 +0900] "GET /WebProject2/jspBR/p06.account.jsp?profile_id=2 HTTP/1.1" 200 17187
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:05:53 +0900] "GET /WebProject2/jspBR/css/p06.account.css HTTP/1.1" 200 8816
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:06:00 +0900] "GET /WebProject2/jspBR/p07.account.jsp?profile_id=2 HTTP/1.1" 200 13005
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:06:00 +0900] "GET /WebProject2/jspBR/css/p07.account.css HTTP/1.1" 200 10421
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:06:04 +0900] "GET /WebProject2/jspBR/p10.account.jsp HTTP/1.1" 404 817
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:06:12 +0900] "GET /simplemember/managepaymentinfo HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:06:16 +0900] "GET /simplemember/paymentpicker HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:06:18 +0900] "GET /BillingActivity HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:06:21 +0900] "GET /simplemember/billingdateedit HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:06:24 +0900] "GET /redeem HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:06:27 +0900] "GET /gift-cards HTTP/1.1" 404 817
